COUNTY,DATE,Housing & Shelter,Food,Utilities,Healthcare & COVID-19,Mental Health & Addictions,Employment & Income,Clothing & Household,Child Care & Parenting,Government & Legal,Transportation Assistance,Education,Disaster,Other,Total for top requests,(Housing & Shelter) Shelters,(Housing & Shelter) Low-cost housing,(Housing & Shelter) Home repair/ maintenance,(Housing & Shelter) Rent assistance,(Housing & Shelter) Mortgage assistance,(Housing & Shelter) Landlord/ tenant issues,(Housing & Shelter) Contacts,(Housing & Shelter) Other housing & shelter,(Food) Help buying food,(Food) Food pantries,(Food) Soup kitchens & Meals to-go,(Food) Feeding children,(Food) Home-delivered meals,(Food) Holiday meals,(Food) Contacts,(Food) Other food,(Utilities) Electric,(Utilities) Gas,(Utilities) Water,(Utilities) Heating fuel,(Utilities) Utility payment plans,(Utilities) Phone/internet,(Utilities) Contacts,(Utilities) Other utilities,(Healthcare & COVID-19) Health insurance,(Healthcare & COVID-19) Medical expense assistance,(Healthcare & COVID-19) Medical providers,(Healthcare & COVID-19) Dental & eye care,(Healthcare & COVID-19) Prescription medications,(Healthcare & COVID-19) Nursing homes & adult care,(Healthcare & COVID-19) Death related,(Healthcare & COVID-19) Public health & safety,(Healthcare & COVID-19) COVID testing,(Healthcare & COVID-19) COVID vaccination,(Healthcare & COVID-19) All other COVID,(Healthcare & COVID-19) Other health services,(Healthcare & COVID-19) Contacts,(Healthcare & COVID-19) Other healthcare,(Mental Health & Addictions) Substance abuse & addictions,(Mental Health & Addictions) Marriage & family,(Mental Health & Addictions) Crisis intervention & suicide,(Mental Health & Addictions) Mental health services,(Mental Health & Addictions) Mental health facilities,(Mental Health & Addictions) Other mental health & addictions,(Employment & Income) Job search,(Employment & Income) Job development,(Employment & Income) Unemployment benefits,(Employment & Income) Tax preparation,(Employment & Income) Financial assistance,(Employment & Income) Money management,(Employment & Income) Contacts,(Employment & Income) Other employment & income,(Clothing & Household) Clothing,(Clothing & Household) Personal hygiene products,(Clothing & Household) Appliances,(Clothing & Household) Home furnishings,(Clothing & Household) Thrift shops,(Clothing & Household) Seasonal/ holiday,(Clothing & Household) Contacts,(Clothing & Household) Other clothing & household,(Child Care & Parenting) Child care,(Child Care & Parenting) Parenting,(Child Care & Parenting) Family support services,(Child Care & Parenting) Other child care & parenting,(Government & Legal) Legal assistance,(Government & Legal) Child & family law,(Government & Legal) Immigration assistance,(Government & Legal) Government,(Government & Legal) Contacts,(Government & Legal) Other government & legal,(Transportation Assistance) Medical transportation,(Transportation Assistance) Public transportation,(Transportation Assistance) Automobile assistance,(Transportation Assistance) Long-distance travel,(Transportation Assistance) Ride share services,(Transportation Assistance) Bike programs,(Transportation Assistance) Contacts,(Transportation Assistance) Other transportation assistance,(Education) Early childhood education,(Education) Adult education,(Education) Literacy,(Education) ESL/ citizenship,(Education) Tutoring,(Education) School supplies,(Education) Scholarships & aid,(Education) Other education providers,(Education) Contacts,(Education) Other education,(Disaster) Food/ water,(Disaster) Housing/ shelter,(Disaster) Transportation/ fuel,(Disaster) Health/ safety,(Disaster) Financial assistance,(Disaster) Disaster relief services,(Disaster) Contacts,(Disaster) Other disaster,(Other) Agency & other contact information,(Other) Community development & enrichment,(Other) Volunteering & donations,(Other) Support & advocacy,(Other) Complaints,(Other) Special population services,(Other) Special populations,(Other) All other requests,Filled,Judgement,Population
Iowa County,Feb 2021,0,1,0,2,5,0,0,0,1,1,0,0,3,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,23618
La Crosse County,Aug 2019,67,32,28,60,271,14,15,2,77,19,1,0,162,748,16,14,12,21,0,4,0,0,6,17,3,0,5,0,1,0,22,0,0,0,0,3,2,1,5,1,8,4,0,24,3,0,0,0,0,3,12,0,21,0,225,23,2,0,3,0,3,1,2,5,0,0,6,6,0,2,0,0,0,1,2,0,0,0,6,5,0,33,33,0,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,21,10,13,3,11,0,91,44,17,117894
Lincoln County,Nov 2020,10,3,2,13,17,0,3,0,2,2,0,1,5,58,0,3,2,2,1,2,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,3,0,3,2,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,2,1,27744
Trempealeau County,Jul 2020,3,4,0,7,3,0,0,0,4,1,0,1,5,28,0,0,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,3,1,29499
Racine County,Mar 2020,101,446,18,122,46,92,23,3,25,2,1,7,84,970,30,9,1,51,2,7,0,0,11,397,19,1,18,0,0,0,10,3,0,1,0,3,0,1,10,2,9,5,3,14,0,0,0,0,78,1,0,0,24,0,10,12,0,0,3,0,4,77,8,1,0,0,4,12,2,4,0,0,0,1,3,0,0,0,4,5,0,8,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,55,1,5,3,1,1,0,18,44,3,195602
Jackson County,Dec 2019,6,1,1,7,14,2,2,0,4,1,0,0,7,45,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,11,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,1,4,20522
Kenosha County,Jan 2020,35,9,3,6,15,4,1,0,6,3,0,1,5,88,4,5,0,22,0,4,0,0,0,9,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,10,0,3,2,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,92,16,168524
Fond du Lac County,Mar 2020,45,28,14,204,14,12,5,0,12,2,1,3,39,379,5,4,1,27,0,8,0,0,5,20,1,0,2,0,0,0,9,0,1,0,0,3,0,1,2,0,23,0,0,3,0,0,0,0,176,0,0,0,5,0,4,5,0,0,2,0,3,5,2,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,4,1,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,18,1,0,1,1,0,0,18,29,5,102597
Milwaukee County,Sep 2019,3859,1961,643,614,2073,164,745,68,471,81,101,4,822,11606,2521,612,84,403,14,214,7,2,167,1465,265,25,33,0,0,6,569,16,2,3,9,24,9,11,104,11,87,45,15,304,7,0,0,0,0,29,12,0,332,4,690,1034,13,0,70,3,10,20,49,8,6,0,193,64,155,329,2,0,0,2,33,35,0,0,86,104,2,164,115,0,22,44,15,0,0,0,0,0,2,2,1,0,0,90,0,6,0,0,0,3,0,0,0,0,1,0,361,18,86,40,18,101,0,198,1140,118,951226
Kewaunee County,Nov 2019,2,1,2,1,0,0,0,0,0,0,0,0,13,19,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,2,0,20387
Jefferson County,Jul 2019,17,5,1,9,7,0,2,0,1,0,1,0,5,48,3,4,0,10,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,1,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,28,5,84701
Washington County,Jun 2020,26,4,7,59,218,6,1,0,14,3,0,3,16,357,13,4,0,9,0,0,0,0,2,2,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,4,1,0,6,0,5,27,0,9,4,0,0,22,0,139,56,1,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,1,0,4,0,2,0,4,35,1,134925
Rusk County,Aug 2020,1,1,3,4,2,0,0,0,1,0,0,0,1,13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,14132
Iron County,Sep 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5687
Marathon County,Oct 2019,192,31,59,44,26,16,41,4,72,41,2,0,122,650,22,47,70,43,5,5,1,0,3,19,3,0,5,1,0,0,38,6,2,3,0,2,6,2,6,5,6,6,4,17,0,0,0,0,0,0,0,0,17,1,3,4,1,0,2,0,1,2,9,2,0,0,17,4,2,11,0,7,0,0,4,0,0,0,4,1,1,31,35,0,11,15,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,10,23,6,2,8,0,41,55,18,135396
Douglas County,Apr 2021,13,2,0,161,4,4,3,0,4,5,0,0,6,202,7,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,76,6,1,72,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,10,3,43295
Vernon County,Nov 2019,1,0,0,1,18,0,1,0,3,2,0,1,1,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,30633
Washburn County,Nov 2019,0,0,0,0,2,2,0,0,2,1,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,15688
St. Croix County,Dec 2020,51,7,16,14,1,5,3,0,3,13,0,2,20,135,6,6,1,27,7,1,0,3,1,5,0,0,1,0,0,0,8,1,3,1,0,3,0,0,8,1,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,0,3,0,0,0,1,1,8,1,88732
Portage County,Feb 2020,36,8,6,17,18,726,8,4,17,14,0,0,44,898,6,11,4,12,0,3,0,0,2,6,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,2,1,3,2,6,0,0,0,0,0,1,0,0,8,0,4,6,0,0,1,0,1,714,5,2,3,0,4,1,1,2,0,0,0,0,4,0,0,0,5,0,0,4,8,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,2,3,1,2,0,5,9,1,70632
Rock County,Jun 2020,140,44,72,80,20,13,22,1,15,11,0,25,26,469,18,20,3,86,9,4,0,0,4,34,3,1,2,0,0,0,58,1,9,0,0,4,0,0,6,3,1,1,0,18,1,7,14,0,18,11,0,0,15,0,3,2,0,0,2,0,3,3,1,2,0,2,6,8,3,3,2,0,0,0,1,0,0,0,3,1,0,6,5,0,1,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,5,0,6,1,6,2,0,6,78,7,162152
Langlade County,Jan 2021,6,0,0,4,3,3,0,0,1,2,0,0,3,22,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,19146
Portage County,Aug 2020,71,26,11,49,16,19,6,0,26,13,6,10,21,274,11,17,4,36,1,2,0,0,2,18,0,1,5,0,0,0,5,1,1,1,0,1,2,0,1,2,2,2,0,5,0,2,14,0,12,9,0,0,11,0,2,3,0,0,0,0,0,10,5,1,0,3,2,1,2,1,0,0,0,0,0,0,0,0,5,1,0,12,8,0,2,2,8,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,2,0,1,7,0,0,0,4,1,4,1,0,5,0,6,14,1,70632
Oconto County,Jun 2021,4,1,2,1,5,1,0,0,5,1,0,0,5,25,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,3,0,37646
St. Croix County,Jul 2019,21,1,8,3,6,2,2,0,0,1,1,3,2,50,5,3,4,8,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,7,3,88732
Jefferson County,Dec 2020,39,6,4,33,18,2,6,0,6,2,0,1,9,126,0,6,2,29,0,2,0,0,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,1,2,0,2,0,0,19,1,3,1,0,0,13,0,2,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,3,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,3,10,1,84701
Rusk County,Feb 2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,14132
Juneau County,May 2020,8,1,2,0,9,1,1,0,2,3,0,0,3,30,2,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,26478
Barron County,Dec 2019,11,0,4,3,4,1,1,0,3,2,0,1,1,31,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,45229
Pepin County,Jan 2021,1,0,1,2,1,1,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7265
Waukesha County,Sep 2019,115,15,22,38,225,10,7,3,52,8,0,2,41,538,41,25,3,36,5,5,0,0,4,8,2,0,1,0,0,0,21,0,0,0,0,1,0,0,10,1,10,2,0,12,0,0,0,0,0,1,2,0,38,1,67,119,0,0,3,0,2,2,2,1,0,0,3,0,0,3,1,0,0,0,2,1,0,0,7,27,0,12,6,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,20,0,6,3,1,4,0,7,36,5,400475
Marquette County,Aug 2019,2,1,3,1,4,0,0,0,1,0,0,0,6,18,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,15304
Green Lake County,Sep 2020,9,3,2,13,2,2,0,0,0,0,0,2,4,37,0,3,0,6,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,7,0,18755
Oconto County,Apr 2020,10,4,6,2,0,14,0,0,7,1,1,0,4,49,0,0,1,6,1,2,0,0,1,3,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,37646
Marinette County,Sep 2020,16,3,5,20,6,3,0,0,2,0,1,0,3,59,2,2,0,11,1,0,0,0,1,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,12,0,5,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,16,2,40391
Columbia County,May 2021,9,1,0,23,10,1,0,2,1,0,0,0,4,51,0,3,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,6,0,0,13,0,7,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,5,2,57133
St. Croix County,Mar 2021,19,2,15,65,9,2,3,1,7,6,0,0,12,141,3,1,0,9,3,0,0,3,0,2,0,0,0,0,0,0,10,0,1,1,0,3,0,0,4,0,1,1,0,3,0,0,0,17,5,0,34,0,4,0,4,1,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,1,0,0,2,8,2,88732
Richland County,Sep 2019,10,1,2,1,4,2,0,0,6,1,1,0,1,29,3,3,0,2,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,17459
Sawyer County,Dec 2019,0,1,1,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16399
Chippewa County,Mar 2020,26,10,6,21,9,6,1,0,9,1,1,1,7,98,4,3,0,18,1,0,0,0,2,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,15,0,0,0,4,0,3,2,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,10,2,63892
Monroe County,Feb 2021,21,3,4,13,27,5,1,0,6,2,1,1,9,93,3,3,1,12,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,4,1,1,1,0,0,3,0,0,1,0,0,6,0,13,8,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,4,2,4,45771
Marathon County,Jan 2020,122,24,16,54,52,178,20,6,51,33,0,3,110,669,14,35,13,56,0,4,0,0,7,14,2,0,1,0,0,0,9,3,1,0,0,2,1,0,11,2,11,9,1,15,0,0,0,0,0,4,1,0,12,0,15,24,1,0,6,1,1,157,5,8,0,0,7,2,4,3,0,4,0,0,5,1,0,0,5,2,1,17,26,0,10,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,34,10,14,8,1,11,0,32,55,25,135396
Washington County,Apr 2021,18,4,9,121,428,2,1,0,13,3,0,0,17,616,3,8,0,6,1,0,0,0,2,1,0,0,0,0,0,1,8,1,0,0,0,0,0,0,2,0,1,3,2,1,0,0,10,43,6,1,52,0,7,0,222,197,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,1,0,1,0,4,13,1,134925
Jefferson County,Mar 2021,10,4,2,94,24,0,1,0,5,2,0,0,7,149,1,1,0,8,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,26,4,2,50,0,17,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,11,0,84701
Douglas County,Jun 2020,12,2,3,7,4,1,4,0,3,0,0,0,3,39,4,2,0,5,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,13,6,43295
Sawyer County,Jul 2020,2,0,1,6,2,0,0,0,0,0,0,0,1,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16399
Wood County,Nov 2019,33,13,7,11,8,3,9,0,7,10,0,1,18,120,4,3,2,22,1,1,0,0,1,6,0,0,1,5,0,0,3,0,0,4,0,0,0,0,5,0,0,3,2,1,0,0,0,0,0,0,0,0,5,0,2,1,0,0,1,0,0,0,2,0,0,0,2,1,1,1,0,4,0,0,0,0,0,0,0,0,0,5,2,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,4,2,1,1,0,2,22,4,73112
Green County,Jan 2021,6,0,3,7,2,0,1,0,0,1,0,0,2,22,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,36896
