COUNTY,DATE,Housing & Shelter,Food,Utilities,Healthcare & COVID-19,Mental Health & Addictions,Employment & Income,Clothing & Household,Child Care & Parenting,Government & Legal,Transportation Assistance,Education,Disaster,Other,Total for top requests,(Housing & Shelter) Shelters,(Housing & Shelter) Low-cost housing,(Housing & Shelter) Home repair/ maintenance,(Housing & Shelter) Rent assistance,(Housing & Shelter) Mortgage assistance,(Housing & Shelter) Landlord/ tenant issues,(Housing & Shelter) Contacts,(Housing & Shelter) Other housing & shelter,(Food) Help buying food,(Food) Food pantries,(Food) Soup kitchens & Meals to-go,(Food) Feeding children,(Food) Home-delivered meals,(Food) Holiday meals,(Food) Contacts,(Food) Other food,(Utilities) Electric,(Utilities) Gas,(Utilities) Water,(Utilities) Heating fuel,(Utilities) Utility payment plans,(Utilities) Phone/internet,(Utilities) Contacts,(Utilities) Other utilities,(Healthcare & COVID-19) Health insurance,(Healthcare & COVID-19) Medical expense assistance,(Healthcare & COVID-19) Medical providers,(Healthcare & COVID-19) Dental & eye care,(Healthcare & COVID-19) Prescription medications,(Healthcare & COVID-19) Nursing homes & adult care,(Healthcare & COVID-19) Death related,(Healthcare & COVID-19) Public health & safety,(Healthcare & COVID-19) COVID testing,(Healthcare & COVID-19) COVID vaccination,(Healthcare & COVID-19) All other COVID,(Healthcare & COVID-19) Other health services,(Healthcare & COVID-19) Contacts,(Healthcare & COVID-19) Other healthcare,(Mental Health & Addictions) Substance abuse & addictions,(Mental Health & Addictions) Marriage & family,(Mental Health & Addictions) Crisis intervention & suicide,(Mental Health & Addictions) Mental health services,(Mental Health & Addictions) Mental health facilities,(Mental Health & Addictions) Other mental health & addictions,(Employment & Income) Job search,(Employment & Income) Job development,(Employment & Income) Unemployment benefits,(Employment & Income) Tax preparation,(Employment & Income) Financial assistance,(Employment & Income) Money management,(Employment & Income) Contacts,(Employment & Income) Other employment & income,(Clothing & Household) Clothing,(Clothing & Household) Personal hygiene products,(Clothing & Household) Appliances,(Clothing & Household) Home furnishings,(Clothing & Household) Thrift shops,(Clothing & Household) Seasonal/ holiday,(Clothing & Household) Contacts,(Clothing & Household) Other clothing & household,(Child Care & Parenting) Child care,(Child Care & Parenting) Parenting,(Child Care & Parenting) Family support services,(Child Care & Parenting) Other child care & parenting,(Government & Legal) Legal assistance,(Government & Legal) Child & family law,(Government & Legal) Immigration assistance,(Government & Legal) Government,(Government & Legal) Contacts,(Government & Legal) Other government & legal,(Transportation Assistance) Medical transportation,(Transportation Assistance) Public transportation,(Transportation Assistance) Automobile assistance,(Transportation Assistance) Long-distance travel,(Transportation Assistance) Ride share services,(Transportation Assistance) Bike programs,(Transportation Assistance) Contacts,(Transportation Assistance) Other transportation assistance,(Education) Early childhood education,(Education) Adult education,(Education) Literacy,(Education) ESL/ citizenship,(Education) Tutoring,(Education) School supplies,(Education) Scholarships & aid,(Education) Other education providers,(Education) Contacts,(Education) Other education,(Disaster) Food/ water,(Disaster) Housing/ shelter,(Disaster) Transportation/ fuel,(Disaster) Health/ safety,(Disaster) Financial assistance,(Disaster) Disaster relief services,(Disaster) Contacts,(Disaster) Other disaster,(Other) Agency & other contact information,(Other) Community development & enrichment,(Other) Volunteering & donations,(Other) Support & advocacy,(Other) Complaints,(Other) Special population services,(Other) Special populations,(Other) All other requests,Filled,Judgement,Population
Dane County,Feb 2021,709,258,127,283,174,240,77,14,109,111,5,54,158,2319,118,141,16,370,16,39,1,8,20,212,8,0,17,0,0,1,78,13,13,4,3,10,4,2,23,7,8,20,4,28,2,4,53,79,23,14,18,0,77,2,26,61,6,2,26,1,36,105,30,35,4,3,28,24,6,18,1,0,0,0,13,1,0,0,28,13,0,39,28,1,8,42,54,3,3,0,0,1,0,1,0,0,0,0,3,1,0,0,0,1,0,2,51,0,0,0,52,7,24,8,17,21,0,29,35,3,536078
Winnebago County,Jan 2020,73,25,9,36,31,23,3,3,18,17,3,0,54,295,4,17,6,37,4,4,1,0,2,17,4,0,2,0,0,0,5,0,1,1,0,1,0,1,6,5,9,4,2,6,0,0,0,0,0,3,1,0,16,0,6,8,1,0,0,0,0,14,5,4,0,0,0,0,0,1,2,0,0,0,3,0,0,0,5,1,0,1,11,0,2,6,8,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,6,1,0,0,11,0,21,68,11,170411
Florence County,Apr 2020,0,0,1,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314
Bayfield County,Mar 2021,0,0,1,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14993
Price County,Apr 2020,3,2,3,2,3,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13416
Grant County,Jul 2019,6,5,6,6,8,3,3,1,0,2,0,0,9,49,0,0,0,4,2,0,0,0,1,3,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,4,0,3,1,0,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,5,9,3,51733
Buffalo County,Jun 2020,5,1,0,1,3,0,0,0,1,2,0,0,2,15,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,13126
Waupaca County,Jul 2019,14,17,22,6,8,1,3,0,7,7,0,19,9,113,3,1,1,8,0,1,0,0,0,13,4,0,0,0,0,0,13,2,0,1,0,1,2,3,1,0,2,1,0,1,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17,3,1,1,0,0,1,0,3,12,0,51245
Sheboygan County,May 2020,50,13,15,38,18,7,1,1,11,1,0,4,17,176,7,12,3,25,2,1,0,0,5,7,1,0,0,0,0,0,12,0,1,2,0,0,0,0,1,1,3,0,0,2,1,2,12,0,15,1,0,0,11,0,2,5,0,0,0,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,6,2,0,2,0,0,0,7,2,0,115178
Bayfield County,Jul 2019,4,0,0,0,5,0,1,0,0,0,0,0,1,11,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,14993
