"","COUNTY","DATE","Housing & Shelter","Food","Utilities","Healthcare & COVID-19","Mental Health & Addictions","Employment & Income","Clothing & Household","Child Care & Parenting","Government & Legal","Transportation Assistance","Education","Disaster","Other","Total for top requests","(Housing & Shelter) Shelters","(Housing & Shelter) Low-cost housing","(Housing & Shelter) Home repair/ maintenance","(Housing & Shelter) Rent assistance","(Housing & Shelter) Mortgage assistance","(Housing & Shelter) Landlord/ tenant issues","(Housing & Shelter) Contacts","(Housing & Shelter) Other housing & shelter","(Food) Help buying food","(Food) Food pantries","(Food) Soup kitchens & Meals to-go","(Food) Feeding children","(Food) Home-delivered meals","(Food) Holiday meals","(Food) Contacts","(Food) Other food","(Utilities) Electric","(Utilities) Gas","(Utilities) Water","(Utilities) Heating fuel","(Utilities) Utility payment plans","(Utilities) Phone/internet","(Utilities) Contacts","(Utilities) Other utilities","(Healthcare & COVID-19) Health insurance","(Healthcare & COVID-19) Medical expense assistance","(Healthcare & COVID-19) Medical providers","(Healthcare & COVID-19) Dental & eye care","(Healthcare & COVID-19) Prescription medications","(Healthcare & COVID-19) Nursing homes & adult care","(Healthcare & COVID-19) Death related","(Healthcare & COVID-19) Public health & safety","(Healthcare & COVID-19) COVID testing","(Healthcare & COVID-19) COVID vaccination","(Healthcare & COVID-19) All other COVID","(Healthcare & COVID-19) Other health services","(Healthcare & COVID-19) Contacts","(Healthcare & COVID-19) Other healthcare","(Mental Health & Addictions) Substance abuse & addictions","(Mental Health & Addictions) Marriage & family","(Mental Health & Addictions) Crisis intervention & suicide","(Mental Health & Addictions) Mental health services","(Mental Health & Addictions) Mental health facilities","(Mental Health & Addictions) Other mental health & addictions","(Employment & Income) Job search","(Employment & Income) Job development","(Employment & Income) Unemployment benefits","(Employment & Income) Tax preparation","(Employment & Income) Financial assistance","(Employment & Income) Money management","(Employment & Income) Contacts","(Employment & Income) Other employment & income","(Clothing & Household) Clothing","(Clothing & Household) Personal hygiene products","(Clothing & Household) Appliances","(Clothing & Household) Home furnishings","(Clothing & Household) Thrift shops","(Clothing & Household) Seasonal/ holiday","(Clothing & Household) Contacts","(Clothing & Household) Other clothing & household","(Child Care & Parenting) Child care","(Child Care & Parenting) Parenting","(Child Care & Parenting) Family support services","(Child Care & Parenting) Other child care & parenting","(Government & Legal) Legal assistance","(Government & Legal) Child & family law","(Government & Legal) Immigration assistance","(Government & Legal) Government","(Government & Legal) Contacts","(Government & Legal) Other government & legal","(Transportation Assistance) Medical transportation","(Transportation Assistance) Public transportation","(Transportation Assistance) Automobile assistance","(Transportation Assistance) Long-distance travel","(Transportation Assistance) Ride share services","(Transportation Assistance) Bike programs","(Transportation Assistance) Contacts","(Transportation Assistance) Other transportation assistance","(Education) Early childhood education","(Education) Adult education","(Education) Literacy","(Education) ESL/ citizenship","(Education) Tutoring","(Education) School supplies","(Education) Scholarships & aid","(Education) Other education providers","(Education) Contacts","(Education) Other education","(Disaster) Food/ water","(Disaster) Housing/ shelter","(Disaster) Transportation/ fuel","(Disaster) Health/ safety","(Disaster) Financial assistance","(Disaster) Disaster relief services","(Disaster) Contacts","(Disaster) Other disaster","(Other) Agency & other contact information","(Other) Community development & enrichment","(Other) Volunteering & donations","(Other) Support & advocacy","(Other) Complaints","(Other) Special population services","(Other) Special populations","(Other) All other requests"
"782","Green Lake","Feb 1, 2021-Feb 28, 2021",0,0,1,4,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"783","Oconto","Feb 1, 2020-Feb 29, 2020",6,1,1,2,12,5,0,0,4,0,0,1,6,38,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,3,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,2
"784","Marinette","Feb 1, 2021-Feb 28, 2021",7,0,2,12,11,1,0,0,9,0,0,0,3,45,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1,1,0,0,5,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"785","Rock","Aug 1, 2021-Aug 31, 2021",133,15,26,99,51,9,16,0,22,15,6,14,51,457,53,33,6,31,4,6,0,0,6,6,2,0,0,0,0,1,13,0,13,0,0,0,0,0,3,1,1,6,0,9,1,1,13,27,7,2,28,0,28,2,5,15,1,0,1,0,0,0,7,0,1,0,6,3,5,2,0,0,0,0,0,0,0,0,4,4,0,2,12,0,2,2,11,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,14,0,0,0,23,0,7,3,0,8,0,10
"786","Oneida","Nov 1, 2020-Nov 30, 2020",23,6,3,90,7,7,0,0,2,4,0,2,7,151,3,4,0,12,4,0,0,0,0,3,1,0,1,1,0,0,2,0,0,1,0,0,0,0,10,1,7,0,0,0,0,7,36,0,23,6,0,0,7,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,2,0,2
"787","Kenosha","Mar 1, 2020-Mar 31, 2020",48,35,16,255,22,11,6,2,22,4,0,2,70,493,12,5,0,28,1,2,0,0,5,20,3,0,7,0,0,0,10,3,2,0,0,1,0,0,8,1,31,0,1,4,0,0,0,0,208,2,0,0,12,0,4,6,0,0,2,0,2,4,3,0,0,0,3,1,0,2,0,0,0,0,2,0,0,0,1,0,0,14,7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,1,3,3,1,2,0,25
"788","Fond du Lac","Jan 1, 2020-Jan 31, 2020",22,5,6,10,11,9,2,0,8,1,0,0,9,83,4,3,2,10,2,1,0,0,0,4,1,0,0,0,0,0,2,0,1,3,0,0,0,0,2,0,1,1,1,4,0,0,0,0,0,0,1,0,4,0,3,3,1,0,0,0,0,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4
"789","Racine","Jan 1, 2020-Jan 31, 2020",116,364,8,22,46,88,18,0,21,9,1,0,58,751,25,21,10,50,1,9,0,0,11,334,18,0,1,0,0,0,4,1,0,1,0,2,0,0,4,3,1,3,1,8,1,0,0,0,0,0,1,0,25,0,9,11,1,0,4,1,0,71,5,3,4,0,9,1,2,6,0,0,0,0,0,0,0,0,2,3,0,7,9,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,2,4,5,0,0,0,8
"790","Walworth","Sep 1, 2019-Sep 30, 2019",30,5,13,7,11,0,1,0,1,1,0,1,6,76,9,4,1,15,1,0,0,0,1,2,2,0,0,0,0,0,10,2,1,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,2
"791","Portage","Jun 1, 2021-Jun 30, 2021",87,7,13,33,22,24,11,3,22,20,1,15,27,285,14,33,5,25,3,4,2,1,3,3,0,1,0,0,0,0,9,0,3,0,0,1,0,0,7,0,0,1,1,8,0,0,1,5,1,0,9,0,17,0,3,2,0,0,1,0,3,7,12,1,0,0,4,4,1,2,0,0,0,0,1,2,0,0,4,4,0,5,9,0,4,5,9,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,0,0,0,4,7,5,1,0,5,0,5
"792","Trempealeau","Oct 1, 2021-Oct 31, 2021",15,0,2,8,18,0,0,0,11,2,0,4,7,67,9,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,1,0,0,0,1,0,1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,1,0,3
"793","Oconto","Aug 1, 2020-Aug 31, 2020",4,1,1,5,7,2,0,0,7,0,0,0,7,34,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,1
"794","Monroe","Sep 1, 2020-Sep 30, 2020",15,14,7,24,36,6,0,0,3,3,0,5,9,122,4,0,0,8,1,2,0,0,2,7,1,0,4,0,0,0,5,0,1,0,0,1,0,0,0,0,8,0,0,1,0,2,4,0,1,8,0,0,15,0,15,5,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,0,1,2,0,1,0,1
"795","Pierce","Oct 1, 2020-Oct 31, 2020",7,0,3,15,5,1,2,0,1,4,0,0,3,41,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,6,0,2,4,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"796","Brown","Oct 1, 2020-Oct 31, 2020",175,44,38,145,45,23,24,3,71,16,3,10,49,646,44,35,6,79,5,5,0,1,11,22,1,0,8,1,0,1,19,3,10,1,0,3,1,1,10,1,10,8,0,8,0,6,89,0,4,9,0,0,30,0,8,6,0,1,3,0,3,1,10,2,0,3,5,5,4,1,4,5,0,0,0,2,1,0,7,1,0,24,40,0,2,1,12,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,9,0,0,0,19,1,3,5,0,10,0,11
"797","Ashland","Oct 1, 2019-Oct 31, 2019",1,1,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"798","Adams","Dec 1, 2020-Dec 31, 2020",20,5,4,23,0,0,0,0,0,3,0,1,2,58,0,3,1,16,0,0,0,0,1,3,0,0,0,1,0,0,2,0,1,1,0,0,0,0,4,1,1,0,0,0,0,1,6,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"799","Portage","Apr 1, 2020-Apr 30, 2020",63,27,24,33,18,113,11,2,39,10,1,8,55,404,8,12,0,34,4,4,1,0,9,13,2,0,3,0,0,0,6,5,5,2,0,6,0,0,6,3,3,4,4,1,0,0,0,0,12,0,0,0,11,0,2,3,1,1,1,0,12,85,13,1,0,1,0,6,3,0,0,1,0,1,2,0,0,0,3,1,0,14,21,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,1,6,2,13,3,0,7,0,24
"800","Fond du Lac","Oct 1, 2019-Oct 31, 2019",61,12,28,9,21,8,9,1,7,12,0,0,23,191,15,14,1,26,0,5,0,0,1,9,2,0,0,0,0,0,19,3,4,2,0,0,0,0,1,0,3,2,0,3,0,0,0,0,0,0,0,0,9,0,5,6,1,0,3,0,2,0,2,0,0,1,4,3,1,0,0,1,0,0,0,1,0,0,6,0,0,1,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,4,0,10
"801","Racine","Oct 1, 2019-Oct 31, 2019",123,339,21,19,30,12,43,3,16,8,0,2,54,670,42,27,7,39,1,7,0,0,8,309,17,0,3,2,0,0,18,2,1,0,0,0,0,0,2,0,2,2,0,11,0,0,0,0,0,2,0,0,15,0,6,9,0,0,6,0,0,2,2,1,1,0,24,5,3,6,0,5,0,0,2,1,0,0,4,3,0,2,7,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,31,1,12,3,0,3,0,4
"802","Ashland","Jan 1, 2020-Jan 31, 2020",3,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"803","Forest","May 1, 2020-May 31, 2020",5,0,0,3,0,4,0,0,0,2,0,0,0,14,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"804","Rusk","Apr 1, 2020-Apr 30, 2020",1,3,2,1,1,0,0,0,1,0,0,0,1,10,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"805","Douglas","Aug 1, 2021-Aug 31, 2021",11,0,14,46,4,2,0,0,7,1,1,2,5,93,1,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,2,1,1,1,0,0,1,6,21,3,0,10,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1
"806","Adams","Jul 1, 2019-Jul 31, 2019",12,4,5,3,4,0,1,0,0,2,1,3,7,42,1,2,4,4,0,1,0,0,0,3,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,2
"807","Lafayette","May 1, 2021-May 31, 2021",1,0,0,4,1,2,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"808","Iowa","Sep 1, 2020-Sep 30, 2020",5,1,6,2,0,2,0,0,1,0,0,0,3,20,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"809","Pepin","Mar 1, 2021-Mar 31, 2021",0,0,0,4,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"810","Langlade","Dec 1, 2020-Dec 31, 2020",7,2,0,6,0,0,0,0,4,0,0,1,1,21,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"811","Chippewa","Jan 1, 2020-Jan 31, 2020",10,5,4,3,6,6,2,1,5,1,0,0,5,48,0,0,0,7,0,3,0,0,2,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,1,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
"812","La Crosse","May 1, 2021-May 31, 2021",79,4,19,112,280,13,6,1,66,25,1,6,84,696,19,17,4,20,0,11,1,7,2,0,0,1,0,0,0,1,11,1,0,1,0,4,2,0,3,3,12,8,2,16,1,1,7,17,3,8,31,0,57,2,172,46,3,0,2,1,1,4,2,3,0,0,2,0,0,4,0,0,0,0,0,1,0,0,7,1,0,17,41,0,10,5,5,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,5,19,13,8,0,5,0,34
"813","St. Croix","Jan 1, 2021-Jan 31, 2021",47,7,12,16,13,2,0,0,7,4,0,1,16,125,8,7,3,22,0,0,0,7,3,4,0,0,0,0,0,0,7,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,4,9,2,0,0,0,6,0,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,1,7
"814","Crawford","Apr 1, 2021-Apr 30, 2021",8,0,0,2,6,0,0,0,0,0,0,1,0,17,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"815","Jefferson","Jan 1, 2021-Jan 31, 2021",35,9,4,71,18,6,3,0,2,1,0,0,6,155,8,8,0,16,1,2,0,0,3,4,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,19,41,5,0,1,0,9,0,2,6,1,0,2,0,1,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1
"816","Sawyer","Oct 1, 2021-Oct 31, 2021",2,0,1,5,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"817","Marathon","Mar 1, 2020-Mar 31, 2020",180,60,47,118,25,179,29,2,61,24,1,5,122,853,38,43,4,77,3,14,1,0,2,37,5,0,14,0,0,2,16,6,3,6,0,14,2,0,6,4,12,2,5,12,0,0,0,0,74,3,0,0,12,0,5,6,2,0,5,0,11,148,11,4,0,0,3,12,4,5,0,5,0,0,1,1,0,0,4,0,0,22,35,0,4,2,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,33,12,16,7,2,8,0,44
"818","Ozaukee","Sep 1, 2019-Sep 30, 2019",7,4,1,1,6,0,0,0,5,1,0,0,1,26,1,1,0,5,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"819","Langlade","Jul 1, 2019-Jul 31, 2019",8,3,12,1,6,0,1,0,6,5,0,197,13,252,0,2,1,5,0,0,0,0,0,3,0,0,0,0,0,0,6,1,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,192,5,0,0,0,0,1,0,7
"820","Barron","Oct 1, 2021-Oct 31, 2021",8,1,9,21,6,2,1,0,3,2,0,1,5,59,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,3,2,5,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
"821","Green","Mar 1, 2021-Mar 31, 2021",1,0,0,30,3,0,0,0,0,0,0,0,1,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,9,0,0,16,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"822","Crawford","Jun 1, 2020-Jun 30, 2020",1,0,2,7,3,0,0,0,1,2,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"823","Manitowoc","Aug 1, 2019-Aug 31, 2019",32,11,28,7,6,7,2,1,7,3,3,1,14,122,8,5,5,10,3,1,0,0,6,5,0,0,0,0,0,0,24,2,0,2,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,1,4,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,3,0,4
"824","Winnebago","Nov 1, 2020-Nov 30, 2020",130,26,31,87,37,17,18,1,19,10,2,10,39,427,25,25,3,64,4,9,0,0,5,10,1,1,4,3,0,2,23,2,3,1,0,2,0,0,10,3,4,5,1,8,0,3,39,0,7,7,0,0,8,1,4,22,2,0,4,0,0,1,10,2,0,0,4,5,2,3,0,3,0,1,1,0,0,0,9,0,0,2,8,0,4,3,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,14,0,4,5,0,0,0,16
"825","Dodge","Sep 1, 2021-Sep 30, 2021",25,6,7,30,17,3,1,0,2,2,0,0,13,106,3,6,2,6,6,2,0,0,5,1,0,0,0,0,0,0,4,2,1,0,0,0,0,0,2,2,1,0,0,1,0,1,6,1,9,0,7,0,10,0,3,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,8
"826","Burnett","Nov 1, 2019-Nov 30, 2019",1,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827","Langlade","Mar 1, 2021-Mar 31, 2021",1,1,1,19,3,1,0,0,3,1,0,1,3,34,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,0,10,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
